mapa terenu: lwierszy = 40, lkolumn = 40
MojObiekt->iID = 443
MojObiekt->iID = 41
MojObiekt->iID = 467
MojObiekt->iID = 334
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
P.y = 0.357218, Pt.y = 0.000000, Q.y = 0.357218, Qt.y = 0.000000, R.y = 0.357218, Rt.y = 0.000000, S.y = 0.357218, St.y = 0.000000
